Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Temparature degree cellcius,Year,,Random,
Wheat,Rajshahi,61100,25110,3.75,,1975,,0.933155084,35
Wheat,Khulna,1384,888,3.5,,1975,,0.933119758,34
Wheat,Chittagonj,230,149,37.5,,1975,,0.932864821,33
Wheat,Dinajpur,22700,15484,0,,1975,,0.931655458,33
Wheat,Patuakhali,0,0,25.25,,1975,,0.931592506,33
Wheat,Kishoregonj,6000,3380,3.5,,1975,,0.931210242,33
Wheat,Jamalpur,0,0,0,,1975,,0.931200915,32
Wheat,Pabna,59000,27132,3.5,,1975,,0.930894299,33
Wheat,Comilla,55500,38640,42.75,,1975,,0.930584988,34
Wheat,Mymensingh,8465,4948,0,,1975,,0.930442125,39
Wheat,Kustia,51900,38488,14.75,,1976,,0.929738634,39
Wheat,Rangpur,14000,6960,0.25,,1976,,0.929525049,36
Wheat,Dinajpur,17900,12270,0,,1976,,0.929165154,34
Wheat,Barisal,105,54,17,,1976,,0.929089192,36
Wheat,Noakhali,1800,992,14,,1976,,0.92839482,35
Wheat,Tangail,15635,11588,14.75,,1976,,0.928377444,37
Wheat,Faridpur,33475,12055,4.5,,1976,,0.928298345,37
Wheat,Sylhet,5270,2084,14,,1976,,0.928154935,37
Wheat,Kishoregonj,6925,5359,14.75,,1976,,0.925851394,38
Wheat,Jamalpur,0,0,14.75,,1976,,0.924284587,39
Wheat,Comilla,66895,50578,5,,1976,,0.924152346,34
Wheat,Bogra,22610,19813,3.75,,1976,,0.923814725,35
Wheat,Mymensingh,8355,5330,2,,1976,,0.923081078,35
Wheat,Dhaka,19220,10734,3.75,,1976,,0.922310289,34
Wheat,Chittagonj  H.T,40,30,66.75,,1976,,0.922011718,35
Wheat,Patuakhali,0,0,6,,1976,,0.921896894,34
Wheat,Khulna,2245,1917,14.75,,1976,,0.921071025,34
Wheat,Pabna,42000,29059,14.75,,1976,,0.91924812,35
Wheat,Rajshahi,60925,27669,2.75,,1976,,0.919198064,34
Wheat,Chittagonj,570,267,66.75,,1976,,0.917060891,33
Wheat,Jessore,25610,20111,14.75,,1976,,0.916519921,32
Wheat,Pabna,31130,25097,23.01,,1977,,0.915604136,32
