Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,8,123,98,27,1992
Wheat,23,0,0,20,1992
Wheat,9,4,4,54,1992
Wheat,10,34,25,20,1992
Wheat,11,121,118,20,1992
Wheat,12,33,24,11,1992
Wheat,13,2,1,27,1992
Wheat,14,205,139,20,1992
Wheat,15,1,0,27,1992
Wheat,16,150,124,10,1992
Wheat,24,0,0,30,1992
Wheat,17,178,113,7,1992
Wheat,18,20,14,15,1992
Wheat,19,53,42,13,1992
Wheat,22,0,0,23,1993
Wheat,20,12,9,14,1993
Wheat,1,41,37,19,1993
Wheat,2,0,0,24,1993
Wheat,4,112,92,43,1993
Wheat,5,77,58,18,1993
Wheat,6,214,153,14,1993
Wheat,7,94,72,14,1993
Wheat,21,63,45,23,1993
Wheat,8,125,96,9,1993
Wheat,23,0,0,23,1993
Wheat,9,7,6,34,1993
Wheat,10,34,25,23,1993
Wheat,11,113,99,23,1993
Wheat,12,32,22,21,1993
Wheat,13,3,2,40,1993
Wheat,14,199,134,23,1993
Wheat,15,1,1,24,1993
Wheat,16,150,119,15,1993
Wheat,24,0,0,40,1993
Wheat,17,163,109,19,1993
Wheat,18,19,11,47,1993
Wheat,19,59,43,5,1993
Wheat,22,0,0,11,1994
Wheat,20,15,11,6,1994
Wheat,1,401,40,11,1994
Wheat,2,0,0,9,1994
Wheat,4,111,104,6,1994
Wheat,5,80,60,20,1994
Wheat,6,221,159,11,1994
Wheat,7,103,69,11,1994
Wheat,21,65,52,11,1994
Wheat,8,149,134,11,1994
Wheat,23,0,0,11,1994
Wheat,9,8,7,5,1994
Wheat,10,33,23,11,1994
Wheat,11,117,104,11,1994
Wheat,12,29,20,17,1994
Wheat,13,5,3,3,1994
Wheat,14,211,145,11,1994
Wheat,15,0,0,7,1994
Wheat,16,151,122,19,1994
Wheat,24,0,0,6,1994
Wheat,17,167,137,11,1994
Wheat,18,19,13,18,1994
Wheat,19,55,43,25,1994
Wheat,22,0,0,46,1995
Wheat,20,14,10,54,1995
Wheat,1,49,47,26,1995
Wheat,2,0,0,84,1995
Wheat,4,116,104,44,1995
Wheat,5,84,69,38,1995
Wheat,6,231,169,24,1995
Wheat,7,125,90,29,1995
Wheat,21,69,52,46,1995
Wheat,8,162,142,40,1995
Wheat,23,0,0,46,1995
Wheat,9,12,11,71,1995
Wheat,10,36,26,46,1995
Wheat,11,125,108,46,1995
Wheat,12,36,24,33,1995
Wheat,13,1,1,71,1995
Wheat,14,238,162,46,1995
Wheat,15,0,0,79,1995
Wheat,16,181,154,23,1995
Wheat,24,0,0,57,1995
Wheat,17,181,146,30,1995
Wheat,18,10,7,35,1995
Wheat,19,61,47,40,1995
Wheat,22,0,0,11,1996
Wheat,20,16,11,6,1996
Wheat,1,53,51,8,1996
Wheat,2,0,0,28,1996
Wheat,4,120,106,6,1996
Wheat,5,90,71,5,1996
Wheat,6,248,198,5,1996
Wheat,7,133,102,4,1996
Wheat,21,71,56,11,1996
Wheat,8,148,135,16,1996
Wheat,23,0,0,11,1996
Wheat,9,8,7,7,1996
Wheat,10,36,28,11,1996
Wheat,11,127,118,11,1996
Wheat,12,28,18,4,1996
Wheat,13,1,1,5,1996
Wheat,14,244,192,11,1996
Wheat,15,0,0,20,1996
Wheat,16,178,153,5,1996
Wheat,24,0,0,26,1996
Wheat,17,182,158,3,1996
Wheat,18,4,3,20,1996
Wheat,19,6,48,14,1996
Wheat,22,0,0,16,1997
Wheat,20,17,12,14,1997
Wheat,1,57,55,13,1997
Wheat,2,0,0,21,1997
Wheat,4,133,120,13,1997
Wheat,5,98,85,8,1997
Wheat,6,311,294,17,1997
Wheat,7,141,119,27,1997
Wheat,21,81,74,16,1997
Wheat,8,166,155,21,1997
Wheat,23,0,0,16,1997
Wheat,9,8,8,13,1997
Wheat,10,40,33,16,1997
Wheat,11,143,134,16,1997
Wheat,12,33,25,11,1997
Wheat,13,2,1,11,1997
Wheat,14,253,228,16,1997
Wheat,15,0,0,14,1997
Wheat,16,201,184,27,1997
Wheat,24,0,0,12,1997
Wheat,17,228,215,16,1997
Wheat,18,5,4,17,1997
Wheat,19,71,57,17,1997
Wheat,22,0,0,38,1998
Wheat,20,27,18,118,1998
Wheat,1,57,54,8,1998
Wheat,2,0,0,58,1998
Wheat,4,149,126,50,1998
Wheat,5,106,88,34,1998
Wheat,6,345,316,5,1998
Wheat,7,153,124,42,1998
Wheat,21,94,80,38,1998
Wheat,8,164,152,47,1998
Wheat,23,0,0,38,1998
Wheat,9,9,8,71,1998
Wheat,10,47,37,38,1998
Wheat,11,149,141,38,1998
Wheat,12,36,26,13,1998
Wheat,13,3,2,62,1998
Wheat,14,261,230,38,1998
Wheat,15,0,0,51,1998
Wheat,16,218,187,14,1998
Wheat,24,0,0,30,1998
Wheat,17,273,250,3,1998
Wheat,18,6,4,16,1998
Wheat,19,83,64,20,1998
Wheat,22,0,0,8,1999
Wheat,20,28,19,1,1999
Wheat,1,58,56,8,1999
Wheat,2,0,0,27,1999
Wheat,4,122,100,11,1999
Wheat,5,103,83,3,1999
Wheat,6,364,352,1,1999
Wheat,7,151,119,1,1999
Wheat,21,84,67,8,1999
Wheat,8,149,137,8,1999
Wheat,23,0,0,8,1999
Wheat,9,6,5,4,1999
Wheat,10,41,32,8,1999
Wheat,11,111,109,8,1999
Wheat,12,31,23,0,1999
Wheat,13,4,2,22,1999
Wheat,14,240,219,8,1999
Wheat,15,0,0,3,1999
Wheat,16,241,228,0,1999
Wheat,24,0,0,30,1999
Wheat,17,241,229,2,1999
Wheat,18,4,4,0,1999
Wheat,19,78,57,9,1999
Wheat,22,0,0,14,2000
Wheat,20,28,21,11,2000
Wheat,1,43,39,14,2000
Wheat,2,0,0,8,2000
Wheat,4,116,89,25,2000
Wheat,5,93,72,14,2000
Wheat,6,345,325,8,2000
Wheat,7,136,97,19,2000
Wheat,21,76,66,14,2000
Wheat,8,133,122,5,2000
Wheat,23,0,0,14,2000
Wheat,9,5,4,5,2000
Wheat,10,33,24,14,2000
Wheat,11,125,120,14,2000
Wheat,12,28,19,10,2000
Wheat,13,2,1,26,2000
Wheat,14,216,192,14,2000
Wheat,15,0,0,32,2000
Wheat,16,227,212,13,2000
Wheat,24,0,0,22,2000
Wheat,17,226,218,4,2000
Wheat,18,5,4,13,2000
Wheat,19,70,49,14,2000
Wheat,22,0,0,15,2001
Wheat,20,17,12,21,2001
Wheat,1,50,46,2,2001
Wheat,2,0,0,23,2001
Wheat,4,110,79,21,2001
Wheat,5,98,75,5,2001
Wheat,6,354,337,13,2001
Wheat,7,131,93,12,2001
Wheat,21,80,63,15,2001
Wheat,8,123,114,4,2001
Wheat,23,0,0,15,2001
Wheat,9,5,5,24,2001
Wheat,10,22,17,15,2001
Wheat,11,112,104,15,2001
Wheat,12,20,14,6,2001
Wheat,13,2,1,15,2001
Wheat,14,208,187,15,2001
Wheat,15,0,0,26,2001
Wheat,16,219,206,0,2001
Wheat,24,0,0,27,2001
Wheat,17,210,202,2,2001
Wheat,18,9,8,50,2001
Wheat,19,62,43,12,2001
Wheat,22,0,0,23,2002
Wheat,20,16,12,28,2002
Wheat,1,46,42,7,2002
Wheat,2,0,0,35,2002
Wheat,4,118,87,28,2002
Wheat,5,82,62,16,2002
Wheat,6,344,317,8,2002
Wheat,7,104,74,37,2002
Wheat,21,77,64,23,2002
Wheat,8,115,110,33,2002
Wheat,23,0,0,23,2002
Wheat,9,6,5,46,2002
Wheat,10,25,19,23,2002
Wheat,11,106,85,23,2002
Wheat,12,20,15,23,2002
Wheat,13,3,2,22,2002
Wheat,14,202,181,23,2002
Wheat,15,0,0,6,2002
Wheat,16,213,199,7,2002
Wheat,24,0,0,28,2002
Wheat,17,197,184,5,2002
Wheat,18,9,7,38,2002
Wheat,19,65,44,26,2002
Wheat,25,0,0,12,2003
Wheat,26,0,0,12,2003
Wheat,27,0,0,12,2003
Wheat,20,2,2,8,2003
Wheat,28,10,7,8,2003
Wheat,29,8,6,9,2003
Wheat,1,17,15,18,2003
Wheat,30,37,31,18,2003
Wheat,31,25,17,12,2003
Wheat,32,22,19,10,2003
Wheat,2,0,0,12,2003
Wheat,33,0,0,12,2003
Wheat,34,26,22,12,2003
Wheat,4,41,31,26,2003
Wheat,35,89,67,12,2003
Wheat,36,0,0,2,2003
Wheat,5,8,6,18,2003
Wheat,37,66,47,18,2003
Wheat,6,138,99,19,2003
Wheat,38,327,216,19,2003
Wheat,7,36,29,35,2003
Wheat,39,94,69,35,2003
Wheat,40,0,0,16,2003
Wheat,41,23,19,12,2003
Wheat,42,3,2,12,2003
Wheat,43,7,5,12,2003
Wheat,44,4,3,12,2003
Wheat,45,0,0,12,2003
Wheat,21,48,39,12,2003
Wheat,230,69,58,12,2003
Wheat,8,30,30,8,2003
Wheat,46,98,88,12,2003
Wheat,47,35,31,12,2003
Wheat,48,19,16,12,2003
Wheat,49,0,0,12,2003
Wheat,9,0,0,6,2003
Wheat,50,5,4,12,2003
Wheat,10,16,12,12,2003
Wheat,51,20,15,12,2003
Wheat,52,47,34,12,2003
Wheat,11,46,39,12,2003
Wheat,53,102,89,12,2003
Wheat,54,0,0,12,2003
Wheat,55,21,16,12,2003
Wheat,56,7,5,8,2003
Wheat,57,25,20,12,2003
Wheat,58,34,25,12,2003
Wheat,59,0,0,12,2003
Wheat,60,31,28,12,2003
Wheat,61,3,2,12,2003
Wheat,62,0,0,9,2003
Wheat,63,8,7,12,2003
Wheat,64,13,9,12,2003
Wheat,65,4,3,12,2003
Wheat,66,59,63,12,2003
Wheat,67,24,23,12,2003
Wheat,68,5,3,12,2003
Wheat,69,34,23,12,2003
Wheat,70,49,42,12,2003
Wheat,13,0,0,16,2003
Wheat,71,0,0,16,2003
Wheat,14,136,117,12,2003
Wheat,135,210,172,12,2003
Wheat,72,59,38,12,2003
Wheat,15,0,0,2,2003
Wheat,137,0,0,2,2003
Wheat,73,0,0,12,2003
Wheat,74,29,21,12,2003
Wheat,16,67,66,7,2003
Wheat,138,198,194,7,2003
Wheat,235,0,0,12,2003
Wheat,17,53,48,14,2003
Wheat,139,177,139,14,2003
Wheat,75,4,4,6,2003
Wheat,76,14,10,12,2003
Wheat,77,22,18,12,2003
Wheat,78,74,55,12,2003
Wheat,79,1,1,12,2003
Wheat,18,1,1,2,2003
Wheat,146,6,5,2,2003
Wheat,150,58,37,9,2003
Wheat,80,130,79,12,2003
Wheat,25,0,0,1,2004
Wheat,26,0,0,1,2004
Wheat,27,0,0,1,2004
Wheat,20,2,1,0,2004
Wheat,28,10,6,0,2004
Wheat,29,8,4,0,2004
Wheat,1,15,13,0,2004
Wheat,30,31,25,0,2004
Wheat,31,22,15,1,2004
Wheat,32,19,11,1,2004
Wheat,2,0,0,1,2004
Wheat,33,0,0,1,2004
Wheat,34,28,20,1,2004
Wheat,4,36,24,1,2004
Wheat,35,78,50,1,2004
Wheat,36,0,0,0,2004
Wheat,5,7,5,0,2004
Wheat,37,49,32,0,2004
Wheat,6,99,106,3,2004
Wheat,38,216,277,3,2004
Wheat,7,40,24,1,2004
Wheat,39,104,65,1,2004
Wheat,40,0,0,0,2004
Wheat,41,19,20,1,2004
Wheat,42,2,2,1,2004
Wheat,43,7,5,1,2004
Wheat,44,3,2,1,2004
Wheat,45,0,0,1,2004
Wheat,21,34,24,1,2004
Wheat,230,54,41,1,2004
Wheat,8,23,15,1,2004
Wheat,46,76,47,1,2004
Wheat,47,25,14,1,2004
Wheat,48,16,12,1,2004
Wheat,49,0,0,1,2004
Wheat,9,0,0,0,2004
Wheat,50,5,4,0,2004
Wheat,10,11,7,0,2004
Wheat,51,16,10,0,2004
Wheat,52,34,38,1,2004
Wheat,11,45,25,1,2004
Wheat,53,95,54,1,2004
Wheat,54,0,0,1,2004
Wheat,55,16,18,1,2004
Wheat,56,7,5,3,2004
Wheat,57,22,13,1,2004
Wheat,58,25,13,1,2004
Wheat,59,0,0,1,2004
Wheat,60,21,9,1,2004
Wheat,61,2,2,1,2004
