Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,,Year
Wheat,7,121380,57000,3.5,,1989
Wheat,21,53150,33650,7.08,,1989
Wheat,8,113280,66250,3,,1989
Wheat,23,0,0,7.08,,1989
Wheat,9,9080,6460,2.25,,1989
Wheat,10,26070,16800,7.08,,1989
Wheat,11,114160,67530,7.08,,1989
Wheat,12,29680,18960,7.08,,1989
Wheat,13,3850,1890,6.25,,1989
Wheat,14,148260,68780,7.08,,1989
Wheat,15,290,120,0.75,,1989
Wheat,16,119770,78540,5,,1989
Wheat,24,0,0,12.75,,1989
Wheat,17,162160,116940,7.75,,1989
Wheat,18,16930,8480,18.5,,1989
Wheat,19,54900,31690,17.5,,1989
Wheat,22,0,0,30.26,,1990
Wheat,20,9850,4790,44.75,,1990
Wheat,1,51470,40670,7.75,,1990
Wheat,2,0,0,37.25,,1990
Wheat,4,136430,81130,29.75,,1990
Wheat,5,79530,50230,36.25,,1990
Wheat,6,206970,156600,1.5,,1990
Wheat,7,112820,67550,22,,1990
Wheat,21,57450,39270,30.26,,1990
Wheat,8,106010,74230,47.5,,1990
Wheat,23,0,0,30.26,,1990
Wheat,9,7760,5070,35.75,,1990
Wheat,10,26510,17470,30.26,,1990
Wheat,11,111310,72380,30.26,,1990
Wheat,12,30600,20300,22.75,,1990
Wheat,13,810,210,67.75,,1990
Wheat,14,175500,118640,30.26,,1990
Wheat,15,540,240,52.25,,1990
Wheat,16,125510,92290,12.75,,1990
Wheat,24,10,0,41.75,,1990
Wheat,17,172440,122490,14.5,,1990
Wheat,18,21070,12140,22.5,,1990
Wheat,19,47460,28590,17.75,,1990
Wheat,22,15,10,29.9,,1991
Wheat,20,8860,4660,23.5,,1991
Wheat,1,39930,33700,32.5,,1991
Wheat,2,15,10,32.75,,1991
Wheat,4,103040,76730,56.25,,1991
Wheat,5,76450,61290,38.75,,1991
Wheat,6,184920,146390,18.75,,1991
Wheat,7,110100,72980,47.5,,1991
Wheat,21,57910,42060,29.9,,1991
Wheat,8,103040,75490,27.5,,1991
Wheat,23,0,0,29.9,,1991
Wheat,9,8110,5740,28.75,,1991
Wheat,10,31440,23940,29.9,,1991
Wheat,11,113200,80530,29.9,,1991
Wheat,12,25290,19390,23.5,,1991
Wheat,13,1080,410,33,,1991
Wheat,14,184190,137770,29.9,,1991
Wheat,15,190,80,7.25,,1991
Wheat,16,142500,104670,24.5,,1991
Wheat,24,40,10,29,,1991
Wheat,17,163940,134690,17,,1991
Wheat,18,18560,10840,36.75,,1991
Wheat,19,47170,33660,31,,1991
Wheat,22,120,70,20.09,,1992
Wheat,20,11450,8380,27.5,,1992
Wheat,1,39590,35390,4.25,,1992
Wheat,2,30,10,39.25,,1992
Wheat,4,108410,85210,16.5,,1992
Wheat,5,79740,57410,12.5,,1992
Wheat,6,230760,171450,5.5,,1992
Wheat,7,112350,664380,16.25,,1992
Wheat,21,69420,51160,20.09,,1992
Wheat,8,122510,98250,26.75,,1992
Wheat,23,10,10,20.09,,1992
Wheat,9,4410,3640,54,,1992
Wheat,10,33650,25000,20.09,,1992
Wheat,11,121100,117590,20.09,,1992
Wheat,12,33010,23600,11,,1992
Wheat,13,2240,1070,27,,1992
Wheat,14,204580,139110,20.09,,1992
Wheat,15,760,220,26.5,,1992
Wheat,16,149520,124400,9.75,,1992
Wheat,24,70,60,30,,1992
Wheat,17,177730,112860,7.25,,1992
Wheat,18,19580,14470,14.5,,1992
Wheat,19,52890,41890,13,,1992
Wheat,22,0,0,23.38,,1993
Wheat,20,12430,8620,14.25,,1993
Wheat,1,41150,36830,18.75,,1993
Wheat,2,40,20,23.5,,1993
Wheat,4,112450,92250,42.5,,1993
Wheat,5,77320,57660,17.75,,1993
Wheat,6,213690,152900,14.25,,1993
Wheat,7,94180,71850,14.25,,1993
Wheat,21,63340,45340,23.38,,1993
Wheat,8,125000,95500,9.25,,1993
Wheat,23,0,0,23.38,,1993
Wheat,9,6650,6260,34,,1993
Wheat,10,34450,24650,23.38,,1993
Wheat,11,113260,98710,23.38,,1993
Wheat,12,31800,22250,20.5,,1993
Wheat,13,3090,2130,39.5,,1993
Wheat,14,198610,133510,23.38,,1993
Wheat,15,1250,610,24,,1993
Wheat,16,150310,119220,14.75,,1993
Wheat,24,210,180,40,,1993
Wheat,17,163420,109060,18.75,,1993
Wheat,18,18610,10900,46.5,,1993
Wheat,19,58860,42600,5,,1993
Wheat,22,0,0,11.41,,1994
Wheat,20,14900,11140,6,,1994
Wheat,1,400990,39670,11.25,,1994
Wheat,2,140,70,8.75,,1994
Wheat,4,110500,103900,5.5,,1994
Wheat,5,80430,59920,20.25,,1994
