Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Jute,Rangpur ,220360,835160,7,1999
Jute,Sylhet ,1790,6250,49,1999
Jute,Tangail ,65260,262350,0,1999
Jute,Barisal ,3730,6190,50,2000
Jute,Bogra ,13100,61440,76,2000
Jute,Chittagonj ,0,0,16,2000
Jute,Comilla ,37690,168850,121,2000
Jute,Dhaka ,63190,217370,172,2000
Jute,Dinajpur ,44930,142430,1,2000
Jute,Faridpur ,197940,799670,31,2000
Jute,Jessore ,91330,397290,7,2000
Jute,Khagrachari ,0,0,18,2000
Jute,Mymensingh ,23270,82380,74,2000
Jute,Noakhali ,240,560,195,2000
Jute,Patuakhali ,280,500,15,2000
Jute,Rajshahi ,36300,134670,27,2000
Jute,Rangamati ,70,340,112,2000
Jute,Rangpur ,279850,1147380,3,2000
Jute,Sylhet ,1820,6150,119,2000
Jute,Tangail ,62040,253740,59,2000
Jute,Barisal ,3740,19180,4,2001
Jute,Bogra ,14550,75380,0,2001
Jute,Chittagonj ,0,0,1,2001
Jute,Comilla ,35890,111700,6,2001
Jute,Dhaka ,62570,218610,33,2001
Jute,Dinajpur ,42600,119470,0,2001
Jute,Faridpur ,220920,932680,21,2001
Jute,jamalpur ,63140,263660,0,2001
Jute,Jessore ,89990,385970,56,2001
Jute,Khagrachari ,0,0,21,2001
Jute,Mymensingh ,21090,62780,16,2001
Jute,Noakhali ,320,5100,0,2001
Jute,Patuakhali ,260,250,3,2001
Jute,Rajshahi ,35420,153510,9,2001
Jute,Rangamati ,30,160,1,2001
Jute,Rangpur ,268800,881010,23,2001
Jute,Sylhet ,1410,3720,42,2001
Jute,Tangail ,64670,226040,86,2001
Jute,Barisal ,5480,19180,36,2002
Jute,Bogra ,15260,75380,13,2002
Jute,Chittagonj ,0,0,70,2002
Jute,Comilla ,32950,111700,72,2002
Jute,Dhaka ,63550,218610,51,2002
Jute,Dinajpur ,37570,119470,13,2002
Jute,Faridpur ,228040,932680,56,2002
Jute,Jessore ,81600,385970,22,2002
Jute,Khagrachari ,0,0,14,2002
Jute,Mymensingh ,19930,62780,41,2002
Jute,Noakhali ,2170,5100,95,2002
Jute,Patuakhali ,200,250,4,2002
Jute,Rajshahi ,36990,153510,20,2002
Jute,Rangamati ,30,160,42,2002
Jute,Rangpur ,226480,881010,38,2002
Jute,Sylhet ,1200,3720,78,2002
Jute,Tangail ,57960,226040,177,2002
Jute,Barisal ,5670,19330,117,2003
Jute,Bogra ,15600,72540,72,2003
Jute,Chittagonj ,0,0,128,2003
Jute,Comilla ,26190,89830,96,2003
Jute,Dhaka ,58920,193850,53,2003
Jute,Dinajpur ,36080,119790,110,2003
Jute,Faridpur ,224970,1046110,92,2003
Jute,Jessore ,82050,408610,155,2003
Jute,Mymensingh ,19630,71060,87,2003
Jute,Noakhali ,1120,2640,119,2003
Jute,Patuakhali ,290,410,113,2003
Jute,Rajshahi ,35990,145400,64,2003
Jute,Rangamati ,30,130,36,2003
Jute,Rangpur ,185800,804510,109,2003
Jute,Sylhet ,4170,13510,170,2003
Jute,Tangail ,50730,195310,145,2003
Jute,Barisal ,3890,10114,11,2004
Jute,Barisal Region ,4245,11035,11,2004
Jute,Bhola ,35,91,11,2004
Jute,Bogra ,9917,45420,45,2004
Jute,Bogra Region ,13255,60675,45,2004
Jute,Chandpur ,9453,33180,9,2004
Jute,Comilla ,4283,18460,6,2004
Jute,Comilla Region ,21123,68852,6,2004
Jute,Cox's Bazar ,0,0,1,2004
Jute,Dhaka ,9605,29776,9,2004
Jute,Dhaka Region ,53944,151259,9,2004
Jute,Dinajpur ,13325,59030,12,2004
Jute,Dinajpur Region ,34697,126337,12,2004
Jute,Faridpur ,85559,446618,6,2004
Jute,Faridpur Region ,222563,1021994,6,2004
Jute,Feni ,160,320,0,2004
Jute,Jessore ,29295,170790,9,2004
Jute,Jessore Region ,93291,445985,9,2004
Jute,Khulna ,803,3951,7,2004
Jute,Khulna Region ,13572,70683,7,2004
Jute,Mymenshing Region ,18173,63787,13,2004
Jute,Noakhali ,250,658,0,2004
Jute,Noakhali Region ,632,1502,0,2004
Jute,Patuakhali ,227,313,12,2004
Jute,Patuakhali Region ,243,331,12,2004
Jute,Rajshahi ,8411,43064,0,2004
Jute,Rajshahi Region ,25954,106729,0,2004
Jute,Rangamati Region ,0,0,8,2004
Jute,Rangpur ,44430,177276,39,2004
Jute,Rangpur Region ,165630,659459,4,2004
Jute,Sylhet ,94,281,40,2004
Jute,Sylhet Region ,2284,5733,40,2004
Jute,Tangail Region ,46139,156873,6,2004
Jute,Barisal ,4260,13078,138,2005
Jute,Barisal Region ,4710,13939,138,2005
Jute,Bhola ,70,120,106,2005
Jute,Bogra ,9127,40889,58,2005
Jute,Bogra Region ,12545,56509,58,2005
Jute,Brahmanbaria ,9672,37140,122,2005
Jute,Comilla ,4020,16442,249,2005
Jute,Comilla Region ,23774,91490,249,2005
Jute,Cox's Bazar ,0,0,27,2005
Jute,Dhaka ,10370,45835,155,2005
Jute,Dhaka Region ,50749,200795,155,2005
Jute,Dinajpur ,11441,46565,37,2005
Jute,Dinajpur Region ,34311,124963,37,2005
Jute,Faridpur ,95595,516213,136,2005
Jute,Faridpur Region ,258656,1317759,136,2005
Jute,Feni ,90,225,0,2005
Jute,Jessore ,37540,203091,129,2005
Jute,Khulna ,1046,4791,148,2005
Jute,Khulna Region ,16710,88649,148,2005
Jute,Madaripur ,42478,223010,61,2005
Jute,Mymenshing Region ,16650,55611,77,2005
Jute,Noakhali ,140,529,0,2005
Jute,Noakhali Region ,540,1876,0,2005
Jute,Patuakhali ,0,0,139,2005
Jute,Patuakhali Region ,0,0,139,2005
Jute,Rajshahi ,9296,54289,104,2005
Jute,Rajshahi Region ,27080,126771,104,2005
Jute,Rangamati Region ,0,0,74,2005
Jute,Rangpur ,34092,162960,61,2005
Jute,Rangpur Region ,149397,634639,61,2005
Jute,Satkhira ,15549,83343,120,2005
Jute,Sylhet ,95,288,388,2005
Jute,Sylhet Region ,1352,4901,388,2005
Jute,Tangail Region ,40817,162860,58,2005
Jute,Barisal ,3900,12051,4,2006
Jute,Barisal Region ,4295,12912,4,2006
Jute,Bhola ,55,91,7,2006
Jute,Bogra ,9260,43615,7,2006
Jute,Bogra Region ,12835,61454,12,2006
Jute,Brahmanbaria ,9030,38648,12,2006
Jute,Chandpur ,8920,32826,0,2006
Jute,Comilla ,4320,19483,0,2006
Jute,Comilla Region ,22270,90957,0,2006
Jute,Cox's Bazar ,0,0,0,2006
Jute,Dhaka ,11700,45630,0,2006
Jute,Dinajpur ,11935,49769,1,2006
Jute,Dinajpur Region ,38035,134973,1,2006
Jute,Faridpur ,105260,559983,0,2006
Jute,Faridpur Region ,275145,1396107,0,2006
Jute,Feni ,0,0,0,2006
Jute,Jamalpur Region ,44420,176742,1,2006
Jute,Khulna ,1160,5127,5,2006
Jute,Madaripur ,49180,239507,0,2006
Jute,Mymenshing Region ,15600,73476,2,2006
Jute,Patuakhali ,0,0,1,2006
Jute,Patuakhali Region ,0,0,1,2006
Jute,Rajshahi Region ,29595,140671,7,2006
Jute,Rangamati Region ,0,0,0,2006
Jute,Rangpur ,24520,116960,2,2006
Jute,Rangpur Region ,136615,585421,2,2006
Jute,Satkhira ,16455,88528,24,2006
Jute,Sylhet ,85,264,16,2006
Jute,Sylhet Region ,480,1644,16,2006
Jute,Tangail Region ,43570,180380,0,2006
Jute,Barisal ,5785,21694,33,2007
Jute,Barisal Region ,6060,22272,33,2007
Jute,Bhola ,0,0,27,2007
Jute,Bogra ,10390,46339,25,2007
Jute,Bogra Region ,14200,62646,25,2007
Jute,Chandpur ,8675,30276,40,2007
Jute,Comilla ,2790,11718,21,2007
Jute,Comilla Region ,20740,79280,21,2007
Jute,Cox's Bazar ,0,0,0,2007
Jute,Dhaka ,8670,29825,11,2007
Jute,Dhaka Region ,47390,170117,11,2007
Jute,Dinajpur ,16755,63669,2,2007
Jute,Dinajpur Region ,46380,161277,2,2007
Jute,Faridpur ,131720,508439,4,2007
Jute,Faridpur Region ,339185,137673,4,2007
Jute,Feni ,0,0,4,2007
Jute,Jessore ,39280,210148,21,2007
Jute,Jessore Region ,151545,722722,21,2007
Jute,Khulna ,1725,8125,14,2007
Jute,Khulna Region ,19410,87164,14,2007
Jute,Madaripur ,64490,275372,35,2007
Jute,Mymenshing Region ,15745,50856,18,2007
Jute,Noakhali ,0,0,4,2007
Jute,Noakhali Region ,360,1264,4,2007
Jute,Patuakhali ,60,276,0,2007
Jute,Patuakhali Region ,60,276,0,2007
Jute,Rajshahi ,13580,68579,59,2007
Jute,Rajshahi Region ,32800,145925,59,2007
Jute,Rangamati Region ,0,0,32,2007
Jute,Rangpur ,20420,97608,16,2007
Jute,Rangpur Region ,112730,494520,16,2007
Jute,Satkhira ,17175,76601,19,2007
Jute,Sylhet ,85,281,41,2007
Jute,Sylhet Region ,475,1593,41,2007
Jute,Tangail Region ,36280,125166,24,2007
Jute,Barisal ,5425,18879,22,2008
Jute,Barisal Region ,5445,18967,22,2008
Jute,Bhola ,0,0,4,2008
Jute,Bogra ,8830,39470,22,2008
Jute,Chandpur ,6590,24713,64,2008
Jute,Chittagong ,0,0,6,2008
Jute,Chittagong Region ,0,0,6,2008
Jute,Comilla ,2530,10778,26,2008
Jute,Comilla Region ,18765,80630,26,2008
Jute,Cox's Bazar ,0,0,4,2008
Jute,Dhaka ,13895,55858,45,2008
Jute,Dhaka Region ,49875,183343,45,2008
Jute,Dinajpur ,13560,55732,19,2008
Jute,Dinajpur Region ,43065,152783,19,2008
Jute,Faridpur ,131455,573144,31,2008
Jute,Faridpur Region ,332615,1506596,31,2008
Jute,Feni ,0,0,30,2008
Jute,Jessore ,32445,189479,37,2008
Jute,Jessore Region ,141005,676488,37,2008
Jute,Khulna ,1780,7903,48,2008
Jute,Khulna Region ,19115,90574,48,2008
Jute,Madaripur ,57840,313493,35,2008
Jute,Mymenshing Region ,11795,37272,96,2008
Jute,Noakhali ,0,0,30,2008
Jute,Noakhali Region ,275,985,30,2008
Jute,Patuakhali ,0,0,2,2008
Jute,Patuakhali Region ,0,0,2,2008
Jute,Rajshahi ,14050,75870,0,2008
Jute,Rajshahi Region ,31200,153417,0,2008
Jute,Rangamati Region ,0,0,5,2008
Jute,Rangpur ,16140,81184,49,2008
Jute,Rangpur Region ,102510,466507,49,2008
Jute,Satkhira ,16475,78586,16,2008
Jute,Sylhet ,0,0,165,2008
Jute,Sylhet Region ,435,1420,165,2008
Jute,Tangail Region ,39890,163549,55,2008
Jute,Barisal ,4926,20985,13,2009
Jute,Barisal Region ,4926,20985,13,2009
Jute,Bhola ,0,0,6,2009
Jute,Bogra ,16957,76646,3,2009
Jute,Bogra Region ,19854,90812,3,2009
