Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,8,118.31,66.74,17,1980
Wheat,23,0,0,13.46,1980
Wheat,9,11.33,8.19,25.5,1980
Wheat,10,21.89,12.305,13.46,1980
Wheat,11,135.81,115.8,13.46,1980
Wheat,12,8.585,8.17,13.46,1980
Wheat,13,2.69,1.47,14,1980
Wheat,14,103.645,82.295,13.46,1980
Wheat,15,0.175,0.09,13.46,1980
Wheat,16,140.78,117.06,10.25,1980
Wheat,24,0.42,0.245,21.5,1980
Wheat,17,248.84,195.73,4.25,1980
Wheat,18,12.12,7.76,8.25,1980
Wheat,19,52.395,40.81,13.46,1980
Wheat,22,0,0,26.92,1981
Wheat,20,5.41,2.805,25,1981
Wheat,1,65.735,47.5,33.5,1981
Wheat,2,0.59,0.275,4.5,1981
Wheat,4,187.015,118.72,14,1981
Wheat,5,56.805,37.56,24,1981
Wheat,6,183.24,128.845,30.75,1981
Wheat,7,94.215,75.17,40,1981
Wheat,21,13.785,10.38,12.5,1981
Wheat,8,116.025,73.99,66,1981
Wheat,23,0,0,26.92,1981
Wheat,9,16.535,13.08,32.5,1981
Wheat,10,26.07,11.245,26.92,1981
Wheat,11,133.15,106.675,26.92,1981
Wheat,12,10.83,10.44,34.75,1981
Wheat,13,2.05,0.83,26.92,1981
Wheat,14,87.88,73.785,26.92,1981
Wheat,15,0.085,0.035,13,1981
Wheat,16,99.91,71.16,53.5,1981
Wheat,24,0.03,0.01,6,1981
Wheat,17,165.005,125.38,19.25,1981
Wheat,18,10.255,8.13,21.5,1981
Wheat,19,45.115,36.095,26.92,1981
Wheat,22,0,0,12.93,1982
Wheat,20,7.305,4.435,25.5,1982
Wheat,1,62.87,51.345,4,1982
Wheat,2,0.495,0.23,12.75,1982
Wheat,4,157.7,107.585,11,1982
Wheat,5,59.69,46.42,16.5,1982
Wheat,6,140.465,111.175,7.75,1982
Wheat,7,98.2,92.625,35,1982
Wheat,21,19.33,17.065,12.93,1982
Wheat,8,77.49,55.445,6.5,1982
Wheat,23,0,0,12.93,1982
Wheat,9,5.935,5.03,11.75,1982
Wheat,10,24.32,14.24,12.93,1982
Wheat,11,115.94,130.03,12.93,1982
Wheat,12,15.525,17.345,2.5,1982
Wheat,13,2.6,1.355,13.25,1982
Wheat,14,101.095,97.57,12.93,1982
Wheat,15,0.3,0.16,13,1982
Wheat,16,142.08,107.575,17.75,1982
Wheat,24,0,0,19.5,1982
Wheat,17,193.83,167.23,2.25,1982
Wheat,18,15.675,13.63,8,1982
Wheat,19,42.525,37.55,12.93,1982
Wheat,22,0.015,0.005,23.59,1983
Wheat,20,4.59,1.755,28.5,1983
Wheat,1,62.37,60.7,10.25,1983
Wheat,2,0.45,0.195,39.5,1983
Wheat,4,157.01,141.38,18,1983
Wheat,5,59.945,49.68,23.25,1983
Wheat,6,166.01,140.875,10.75,1983
Wheat,7,100.36,98.88,18.5,1983
Wheat,21,34.525,30.115,23.59,1983
Wheat,8,60.645,58.4,38,1983
Wheat,23,0.01,0.005,23.59,1983
Wheat,9,4.8,4.635,30.25,1983
Wheat,10,20.16,19.635,23.59,1983
Wheat,11,131.03,129.845,23.59,1983
Wheat,12,19.19,19.9,5.75,1983
Wheat,13,2.205,1.28,25,1983
Wheat,14,108.505,105.69,23.59,1983
Wheat,15,0.08,0.035,38,1983
Wheat,16,123.83,110.54,6.75,1983
Wheat,24,0.015,0.005,60.5,1983
Wheat,17,195.575,170.84,8.5,1983
Wheat,18,9.865,8.7,16,1983
Wheat,19,38.57,39.21,23.59,1983
Wheat,22,0.01,0.005,7.45,1984
Wheat,20,7.805,4.43,4.25,1984
Wheat,1,86.035,79.795,7.25,1984
Wheat,2,0.455,0.21,0.75,1984
Wheat,4,160,154.625,4.75,1984
Wheat,5,92.89,77.94,3.5,1984
Wheat,6,155.49,119.185,13.25,1984
Wheat,7,144.37,140.215,10,1984
Wheat,21,56.38,46.49,7.45,1984
Wheat,8,101.12,100.53,13,1984
Wheat,23,0.025,0.01,7.45,1984
Wheat,9,6,5.605,9.75,1984
Wheat,10,23.945,21.445,7.45,1984
Wheat,11,148.59,136.095,7.45,1984
Wheat,12,28.795,26.34,3.25,1984
Wheat,13,6.315,3.04,9.25,1984
Wheat,14,162.845,134.67,7.45,1984
Wheat,15,0.13,0.065,3.25,1984
Wheat,16,184.055,154.43,3.5,1984
Wheat,24,0.02,0.005,3.5,1984
Wheat,17,235.47,196.16,9.25,1984
Wheat,18,17.565,15.8,20.75,1984
Wheat,19,52.75,46.54,7.45,1984
Wheat,22,0.01,0.005,11.39,1985
Wheat,20,9.755,6.705,2.75,1985
Wheat,1,65.875,61.13,2,1985
Wheat,2,0.23,0.15,55.75,1985
Wheat,4,159.965,140.195,2.25,1985
Wheat,5,98.255,75.475,4.75,1985
Wheat,6,117.355,88.565,3,1985
Wheat,7,104.955,65.72,1,1985
Wheat,21,41.81,31.88,11.39,1985
Wheat,8,75.2,58.635,12.5,1985
Wheat,23,0.04,0.035,11.39,1985
Wheat,9,11.68,10.41,6.75,1985
Wheat,10,28.15,20.89,11.39,1985
Wheat,11,107.385,94.29,11.39,1985
Wheat,12,318.51,22.27,12.75,1985
Wheat,13,4.04,2.4,3.5,1985
Wheat,14,133.36,86.5,11.39,1985
Wheat,15,0.35,0.2,18,1985
Wheat,16,144.58,108.38,6.5,1985
Wheat,24,0.09,0.04,25,1985
Wheat,17,130.4,108.42,13.5,1985
Wheat,18,13.48,9.27,12.25,1985
Wheat,19,56.695,49.54,11.39,1985
Wheat,22,0,0,34.48,1986
Wheat,20,11.32,3.95,70.25,1986
Wheat,1,58.4,49.31,9.75,1986
Wheat,2,0.475,0.265,31,1986
Wheat,4,175.11,141.68,35.5,1986
Wheat,5,94.205,51.555,49.25,1986
Wheat,6,140.115,114.78,9.25,1986
Wheat,7,109.715,62.945,38.5,1986
Wheat,21,54.685,39.72,34.48,1986
Wheat,8,88.16,70.795,43.5,1986
Wheat,23,0.025,0.01,34.48,1986
Wheat,9,11.675,9.63,40.25,1986
Wheat,10,30.845,19.8,34.48,1986
Wheat,11,108.675,73.19,34.48,1986
Wheat,12,29.835,21.37,26,1986
Wheat,13,3.8,2.12,33.25,1986
Wheat,14,125.44,96.045,34.48,1986
Wheat,15,0.2,0.08,74,1986
Wheat,16,130.22,109.76,11.5,1986
Wheat,24,0.045,0.02,36.25,1986
Wheat,17,185.79,165.345,14.75,1986
Wheat,18,20.235,11.495,28.75,1986
Wheat,19,66.03,47.125,34.48,1986
Wheat,22,0.005,0.005,14.35,1987
Wheat,20,18.215,13.84,11,1987
Wheat,1,58.635,44.36,6.25,1987
Wheat,2,0.135,0.08,22.25,1987
Wheat,4,184,122.31,17.75,1987
Wheat,5,91.91,64.08,11,1987
Wheat,6,142.585,95.525,11.5,1987
Wheat,7,120.88,74.49,11.25,1987
Wheat,21,52.54,37.34,14.35,1987
Wheat,8,110.19,104.505,4,1987
Wheat,23,0.07,0.035,14.35,1987
Wheat,9,8.13,6.835,15,1987
Wheat,10,28.285,19.35,14.35,1987
Wheat,11,113.375,97.41,14.35,1987
Wheat,12,29.425,19.89,5.25,1987
Wheat,13,3.455,2.01,14.75,1987
Wheat,14,122.16,71.13,14.35,1987
Wheat,15,0.35,0.21,26.5,1987
Wheat,16,128.065,93.21,3.25,1987
Wheat,24,0.01,0.005,38.25,1987
Wheat,17,186.775,131.13,6.5,1987
Wheat,18,16.36,10.525,21.5,1987
Wheat,19,60.735,39.74,18,1987
Wheat,22,0,0,33.35,1988
Wheat,20,12.75,8.95,33.75,1988
Wheat,1,49.84,39.175,30.5,1988
Wheat,2,0,0,21,1988
Wheat,4,161.055,112.59,19,1988
Wheat,5,75.72,51.55,50,1988
Wheat,6,149.71,110.01,6,1988
Wheat,7,119.49,82.42,48,1988
Wheat,21,47.28,36.85,33.35,1988
Wheat,8,110,91.245,31.75,1988
Wheat,23,0,0,33.35,1988
Wheat,9,8.62,7.33,47.5,1988
Wheat,10,27.72,21.47,33.35,1988
Wheat,11,107.7,96.195,33.35,1988
Wheat,12,27.95,20.705,44.5,1988
Wheat,13,2.07,1.25,29.75,1988
Wheat,14,128.27,73.295,33.35,1988
Wheat,15,0.33,0.215,46.5,1988
Wheat,16,115.26,87.16,14.5,1988
Wheat,24,0,0,13.75,1988
Wheat,17,173.105,133.315,17.25,1988
Wheat,18,15.54,11.195,57.75,1988
Wheat,19,51.62,37.03,55.5,1988
Wheat,22,0,0,7.08,1989
Wheat,20,16.83,8.67,3.5,1989
Wheat,1,50.11,38.56,5,1989
Wheat,2,0.04,0.03,4,1989
Wheat,4,156.3,86.85,4.5,1989
Wheat,5,79.51,48.36,11,1989
Wheat,6,187.31,134.44,8,1989
Wheat,7,121.38,57,3.5,1989
Wheat,21,53.15,33.65,7.08,1989
Wheat,8,113.28,66.25,3,1989
Wheat,23,0,0,7.08,1989
Wheat,9,9.08,6.46,2.25,1989
Wheat,10,26.07,16.8,7.08,1989
Wheat,11,114.16,67.53,7.08,1989
Wheat,12,29.68,18.96,7.08,1989
Wheat,13,3.85,1.89,6.25,1989
Wheat,14,148.26,68.78,7.08,1989
Wheat,15,0.29,0.12,0.75,1989
Wheat,16,119.77,78.54,5,1989
Wheat,24,0,0,12.75,1989
Wheat,17,162.16,116.94,7.75,1989
Wheat,18,16.93,8.48,18.5,1989
Wheat,19,54.9,31.69,17.5,1989
Wheat,22,0,0,30.26,1990
Wheat,20,9.85,4.79,44.75,1990
Wheat,1,51.47,40.67,7.75,1990
Wheat,2,0,0,37.25,1990
Wheat,4,136.43,81.13,29.75,1990
Wheat,5,79.53,50.23,36.25,1990
Wheat,6,206.97,156.6,1.5,1990
Wheat,7,112.82,67.55,22,1990
Wheat,21,57.45,39.27,30.26,1990
Wheat,8,106.01,74.23,47.5,1990
Wheat,23,0,0,30.26,1990
Wheat,9,7.76,5.07,35.75,1990
